Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/root/miniconda3/lib/python3.12/site-packages/requests/__init__.py:109: RequestsDependencyWarning: urllib3 (2.1.0) or chardet (7.4.1)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn(

★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
🚀 AutoDL 一键跑穿论文全数据流水线 启动！
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★


==================== 正在处理 Seed 10 ====================

==================================================
>>> 开始训练 WGMetaSAC | Seed 10 <<<
==================================================
>>> Setting global random seed (PyTorch): 10 <<<
MetaSAC | Seed 10 | Epoch 0 | Score: -186.46 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 5 | Score: -66.68 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 10 | Score: 882.77 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 15 | Score: 2352.37 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 20 | Score: 2428.09 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 25 | Score: 2378.43 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 30 | Score: 5335.95 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 35 | Score: 5707.58 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 40 | Score: 2586.75 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 45 | Score: 5810.52 | Env: W=0.0, M=0.0, D=0
MetaSAC | Seed 10 | Epoch 50 | Score: 5413.99 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 55 | Score: 3787.79 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 60 | Score: 2336.11 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 65 | Score: 5123.45 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 70 | Score: 5434.47 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 75 | Score: 2475.02 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 80 | Score: 5163.31 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 85 | Score: 487.32 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 90 | Score: 5135.33 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 95 | Score: 5166.10 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 100 | Score: 5076.97 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 105 | Score: 2565.01 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 110 | Score: 2336.01 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 115 | Score: 5648.56 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 120 | Score: 5345.22 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 125 | Score: 2293.16 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 130 | Score: 5659.76 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 135 | Score: 5571.18 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 140 | Score: 5786.06 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 145 | Score: 216.75 | Env: W=2.0, M=0.1, D=1
MetaSAC | Seed 10 | Epoch 150 | Score: 2168.50 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 155 | Score: 5406.71 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 160 | Score: 2512.76 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 165 | Score: 2779.13 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 170 | Score: 2221.53 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 175 | Score: 2309.64 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 180 | Score: 2381.98 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 185 | Score: 5192.94 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 190 | Score: 4542.02 | Env: W=4.0, M=0.2, D=2
MetaSAC | Seed 10 | Epoch 195 | Score: 5332.67 | Env: W=4.0, M=0.2, D=2
